hotel_id,hotel_name,accomodation,star_rating,public_rating,review_count,review_rating,room_count,room_type,room_area,room_facilities,hotel_facilities,additional_info,hotel_description,point_of_interest,latitude,longitude,address,area,city,state,price,hotel_image
1,Baragarh Regency,Resort,2,85,87,4,17,Deluxe Room,,"Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Makeup / Shaving Mirror|Safe - In - Room |Hill View from all Rooms|HD / LCD Satellite TV |Sofa Table / Extra Seats |Private Garden|TV|Bathrobes|Mirror|Gas Cylinder - Chargeable|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat|Breakfast chargeable",Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Gardens|Dance Performances (on demand)|Catering|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility|Internet Access Free|Children's Park|Postal / Parcel Services| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility|Internet Access|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Security at All Hotel Entrances|Suites,Room Service|Internet Access|Restaurant|Free Internet,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Hadimba Temple|Naggar Village|Himalayan Nyingmapa Gompa|Tibetan Monasteries|Naggar|Van Vihar|Manali 1st Super Market|Manu Temple|Lady Willingdon Hospital|Chandrakhani Pass|Gadham Thekchhokling Gompa|Manali Bus Stand|Civil Hospital|Others|Arjun Gufa|Nehru Kund|Beas Kund|Club House,32.1393865,77.1546599,"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh",Others,Manali,Himachal Pradesh,5173,29
2,Asian Suites A- 585,Guest House,0,87,8,4.5,18,Deluxe Room With Free WIFI,14 X 12 Sq.ft.,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Hairdryer (on request)|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Breakfast Available (surcharge)|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Makeup / Shaving Mirror|Coffee Table|Snacks / Beverage|TV|Room Heater|Mirror|Mini Refrigerator|Utensils (on request)|Attached Bathroom",Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup,Room Service|Gym/Spa,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. All guests requested to carry Valid ID proof for Check Inn. 2. Couple Guests with Local ID's are not allowed to check inn. 3. Cancellation and prepayment policies vary according to room type.,Sushant Lok|Sahara Mall|Amity International School,28.4720966,77.0725457,"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon",Sushant Lok,Gurgaon,Haryana,11374,19
3,Bevvan Resort,Resort,0,50,2,2.5,15,Standard Room,,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Window Opens|Makeup / Shaving Mirror|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|Mirror|Mini Refrigerator|Luggage Rack|Attached Bathroom,Swimming Pool|Bar / Lounge |Laundry Service Available|Multi Cuisine Restaurant,Restaurant|Swimming Pool,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Resort is undergoing minor external repair/maintenance, inconvenience regretted Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.","Anjuna Beach|Calangute Beach|Titos lane, baga|Baga Beach|Calangute Area|North Goa|Calangute Bus Stand|Candolim Beach",15.54839798,73.75763376,"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa",Calangute Area,Goa,Goa,10603,10
4,Apple Inn Cottage,Cottage,2,100,1,5,24,Deluxe Room,,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Heating Facility (on request) |Telephone| Hot / Cold Running Water,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Local Tour / Travel Desk|Car Rental,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,The Mall|Tibetian Monastery|Vashisht Hot Baths|Jagatsuhk|Village Simsa|Chandrakhani Pass|Manali 1st Super Market,32.2236026,77.1858995,Simsa,Village Simsa,Manali,Himachal Pradesh,2040,15
5,Anmol Hotel Pvt.Ltd,Hotel,2,63,121,2.8,20,Standard Room Non AC,14 X 14 Sq.ft.,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone| Hot / Cold Running Water|Mirror,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Medical Assistance Available|Power Backup,Internet Access|Restaurant,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried couples are not allowed for check in. Guests with local Delhi NCR ID will not be allowed for check-in.,Gaffar Market|YMCA Institute|Agrasen Boali|Chandni Chowk|Shivaji Stadium|Paharganj|Jantar Mantar|Talkatora Indoor Stadium|Central Delhi|Ajmeri Gate|Karnail Singh Stadium,28.6467775,77.2127353,"8180 Street No.-6,Arakashan Road,Paharganj",Paharganj,Delhi,Delhi,12468,9
6,Baia Do Sol (A Boutique Beach Resort),Resort,3,68,16,3.9,15,Semi Deluxe,,,Airport Transfer Available / Surcharge|Bar / Lounge |Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Doorman|Power Backup|Newspapers In Lobby|Family Room|Room Service (24 Hours),Room Service|Internet Access,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Mandatory  Gala Dinner on 31st Dec at Rs. 1500/- per person. Children below 10 years @ Rs. 750 Gala dinner charges directly payable at the hotel No check out allowed on 25 Dec, 31st Dec  and 1 Jan Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.","North Goa|Calangute Beach|Baga Area|Anjuna Beach|Titos lane, baga|Baga Beach|Calangute Bus Stand|Anjuna Beach Bus Stop",15.56092347,73.74975872,"Baga Beach, Calangute, Goa",Baga Area,Goa,Goa,6706,4
7,Balaji Residency,Hotel,2,0,0,0,10,Deluxe A/C Room,,Basic Bathroom Amenities|Hairdryer (on request)|Internet Connection In Room| Hot / Cold Running Water|Housekeeping|Makeup / Shaving Mirror|Attached Bathroom,Doctor on Call|Lobby|Front Desk|Power Backup|Internet Access Free|Newspapers In Lobby,Free Internet,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Tughlakabad Fort|South Delhi|Masjid Moth|IIBMS|Lotus Temple|District Court Saket|Lajpat Nagar Market|Indraprastha Apollo Hospitals|Jamia Millia Islamia|Moolchand Medcity|ISKCON Temple|Lajpat Nagar|Batra Hospital &amp; Medical Research Centre|Fortis La Femme|Fortis Escorts Heart Institute &amp; Research Centre|Pushpawati Singhania Research Institute|Siri Fort|Kalkaji|Batra Hospital & Medical Research Centre|Fortis Escorts Heart Institute & Research Centre,28.5403197,77.2613326,"K-69, Kalkaji",Kalkaji,Delhi,Delhi,5520,3
8,BB Palace-A Boutique Hotel,Hotel,3,76,550,4,24,Club Room,21 X 21 Sq.ft.,Room Service |Air Conditioning |Ensuite / Private Bathroom|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Voicemail|Shower Facility Available|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Bathrobes|Mirror|Luggage Rack,Banquet Facilities|Barbecue Area|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Audio - Visual Equipment|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |ATM / Banking|Veranda|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services|Board Room|Rooftop Garden|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|STD / ISD|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Full Time Operation for All 7 Days|Paid Transfers|Pest Control Facility|Public Restrooms|Stamps and Mailing Facility,Room Service|Internet Access|Restaurant|Free Internet,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,International Airport|Domestic Airport|New Delhi Railway Station|India Gate|Red Fort|Lotus Temple|Nehru Place|Connaught Place|Jantar Mantar|Qutab Minar|Gurgaon|Birla Mandir|Karol Bagh Metro Station|Noida|Liberty Theatre|Jhandewalan Mandir|Gaffar Market|Shivaji Stadium|Karol Bagh Area|Talkatora Indoor Stadium|Sarai Rohilla Station|Ajmeri Gate|Karnail Singh Stadium|West Delhi,28.65058813,77.194692,"2638-2642 Gurudwara Road,Karol Bagh",Karol Bagh Area,Delhi,Delhi,10021,6
9,Art Inn Homestay,Homestay,1,0,1,3,2,Standared Room,,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk,,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Hotel may charge gala dinner supplement on Christmas/New Years eve or other festive periods. Which needs to be paid directly at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in.,Others|K.L. Saini Stadium|BAPS Shri Swaminarayan Mandir,26.9047751,75.7488641,"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan",Others,Jaipur,Rajasthan,7331,6
10,Arjun Homestay,Homestay,0,0,0,0,4,Deluxe,,Room Service |Basic Bathroom Amenities,Doctor on Call|Front Desk|24 Hour Front Desk,,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas  New year dates, High season  long weekend dates  extra supplement will be charged over  above the paid rates as per actual  hotel discretion",Safdarjung Station|Hungary Embassy|Dilli Haat|AIIMS|R. K. Khanna Tennis Stadium|Khan Market|ISKCON Temple|AASHLOK Hospital|Thyagaraj Sports Complex|Japanese Embassy|INA Market|French Cultural Center in India|South Extension|Hauz Khas|Lajpat Nagar Market|Embassy of Spain|Lajpat Nagar|Lodhi Gardens|Metro Station Hauz Khas|Deer Park|Embassy of The Arab Republic of Egypt|Masjid Moth|Hazrat Nizammudin Railway Station|Ethiopia Embassy|Humayuns Tomb|Jawaharlal Nehru Stadium|Moolchand Medcity|Sarojini Nagar Market|Safdarjang Hospital|Embassy of Israel|Siri Fort|Brazil Embassy,28.5732907,77.2219418,51 Amri Nagar south ex,South Extension,Delhi,Delhi,6733,4
